index,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
1220,2442,Letterpress,U.S.A,2019,Bolvia,"Tranquilidad, beniano",70,3.25,3,Bean,Cocoa butter,,,,Sugar,,spoiled milk,sweet,molasses,
1221,1231,Levy,Finland,2014,Madagascar,Sambirano,71,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,citrus,,
1222,1856,Lilla,Finland,2016,Madagascar,Madagascar,70,3,2,Bean,,,,,Sugar,,sweet edge,bright fruit,off,
1223,903,Lillie Belle,U.S.A,2012,Peru,La Selva,68,3.75,2,Bean,,,,,Sugar,,rich cocoa,spicy edge,,
1224,855,Lillie Belle,U.S.A,2012,Peru,Perfect Illusion,65,3.5,2,Bean,,,,,Sugar,,creamy,strawberry,cocoa,
1225,903,Lillie Belle,U.S.A,2012,Bolivia,"Bolivia, Wild Thing",68,3.5,2,Bean,,,,,Sugar,,fatty,nutty,melon like,
1226,947,Lillie Belle,U.S.A,2012,Bolivia,Wild Thing,68,3.5,2,Bean,,,,,Sugar,,fatty,grassy,cocoa,
1227,947,Lillie Belle,U.S.A,2012,Dominican republic,"The Other One, Grand Cru",74,3,2,Bean,,,,,Sugar,,fatty,roasty,cocoa,
1228,947,Lillie Belle,U.S.A,2012,Blend,"Purple Haze, Venezuela, Dom. Rep.",75,2.75,2,Bean,,,,,Sugar,,grits,roasted,nutty,
1229,157,Lindt & Sprungli,Switzerland,2007,Blend,Excellence (US Version),85,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,harsh burnt,mild cocoa,tang,
1230,1049,Loiza,Puerto rico,2013,Puerto rico,Puerto Rico,65,2.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,black pepper,vanilla,harsh,
1231,1097,Lonohana,U.S.A,2013,U.s.a.,"Hawai'i Island, Hawaiian Crown, Kona Vanilla",70,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sandy,floral,vanilla,candy
1232,1093,Lonohana,U.S.A,2013,U.s.a.,"O'ahu Island, Opaeula Estate, Nene, CG Exclusive",71,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,aluminum,mild coffee,roasty,
1233,1097,Lonohana,U.S.A,2013,U.s.a.,"O'ahu Island, Opaeula Estate, Ele'ele",72,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,strong,brandy,smoke,
1234,1383,Lonohana,U.S.A,2014,U.s.a.,"O'ahu Island, Haleiwa, Lonohana E., Kanahiku",70,3.75,2,Bean,,,,,Sugar,,spicy,candied,complex,
1235,1395,Lonohana,U.S.A,2014,U.s.a.,"O'ahu Island, Haleiwa E, 2014",75,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,dairy,pudding,,
1236,1395,Lonohana,U.S.A,2014,U.s.a.,"O'ahu Island, Haleiwa E, 2014",65,3.25,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sweet,candy-like,nutty,
1237,1502,Love Bar,U.S.A,2015,Nicaragua,Nicaragua,75,2,2,Bean,,,,,Sugar,,multiple off flavors,metallic,,
1238,2198,Love Brown,Taiwan,2018,Nicaragua,Chuno,78,3.5,2,Bean,,,,,Sugar,,intense mocha flavor,,,
1239,2198,Love Brown,Taiwan,2018,Nicaragua,O'Payo,80,3.25,2,Bean,,,,,Sugar,,nutty,mild dairy,,
1240,2194,Love Brown,Taiwan,2018,Sumatra,Sumatra,70,3,2,Bean,,,,,Sugar,,smokey,earthy,cocoa,
1241,2194,Love Brown,Taiwan,2018,Nicaragua,Medalla,75,2.5,2,Bean,,,,,Sugar,,potting soil,,,
1242,1976,Luisa Abram,Brazil,2017,Brazil,"Rio Purus, 2016 Harvest",81,3.25,2,Bean,,,,,Sugar,,oily,burnt,earthy,
1243,2238,Luisa Abram,Brazil,2018,Brazil,"Rio Acara, Wild Amazon",70,3,2,Bean,,,,,Sugar,,rustic,basic cocoa,earthy,
1244,552,Luker,Colombia,2010,Colombia,Santander,65,3.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,marshmallow,rich brownie,,
1245,552,Luker,Colombia,2010,Blend,"Macondo, Colombia, Ecuador",60,3,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sticky,marshmallow,cocoa,
1246,552,Luker,Colombia,2010,Blend,"Misterio, Colombia, Ecuador",58,3,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,watered down coffee,cocoa,,
1247,552,Luker,Colombia,2010,Blend,"Selva, Colombia, Ecuador",46,2.75,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,very sweet,caramel,candy,
1248,2430,MADE,U.S.A,2019,Ghana,Ghana,75,2.75,3,Bean,Cocoa butter,,,,Sugar,,gritty,cocoa base,ashey,
1249,2426,MADE,U.S.A,2019,Uganda,Uganda,75,2.5,3,Bean,Cocoa butter,,,,Sugar,,gritty,roasty,rubbery,
1250,284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,63,4,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,intense,nutty,cocoa,
1251,284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,70,3.75,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sandy,woody,peanut butter,
1252,284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,67,3.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sandy,red berry,cocoa,
1253,288,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,75,3.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sticky,bitter,nutty,
1254,607,Madre,U.S.A,2010,Mexico,"Chiapas, Triple Cacao",72,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,raisiny,chewy,,
1255,693,Madre,U.S.A,2011,Costa rica,Upala,70,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sticky,strong vanilla,pepper,
1256,672,Madre,U.S.A,2011,Dominican republic,Dominican,70,2.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sandy,sweet,strong vanilla,
1257,995,Madre,U.S.A,2012,U.s.a.,Kaua'i Island,70,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,vanilla,brownie,peanut,
1258,991,Madre,U.S.A,2012,U.s.a.,"Hawai'i Island, Hamakua Coast, Kokoleka",70,3.25,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,vanilla,rich fruit,
1259,995,Madre,U.S.A,2012,U.s.a.,"Criollo, Hawaii",70,3.25,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,burnt nuts,woody,
1260,1085,Madre,U.S.A,2013,Brazil,Brazil,70,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,strong vanilla,nut,coffee,
1261,1085,Madre,U.S.A,2013,Puerto rico,Puerto Rico,70,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,intense vanilla,swiss miss,,
1262,1089,Madre,U.S.A,2013,U.s.a.,"Hawai'i Island, Choobua, Kona",70,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,fatty,vanilla,candy-like,
1263,1089,Madre,U.S.A,2013,Mexico,"Xocunusco, Chiapas, Pichucalco",70,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,vanilla,earthy,caramel,
1264,1940,Madre,U.S.A,2017,Solomon islands,Guadalcanal,73,3.5,2,Bean,,,,,Sugar,,mild earthy,mild cocoa,nut,
1265,308,Maglio,Italy,2008,Dominican republic,Santo Domingo,70,3.75,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,creamy,hay,nutty,
1266,308,Maglio,Italy,2008,Cuba,Cuba,70,3.25,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,nutty,cooling sensation,,
1267,308,Maglio,Italy,2008,Ecuador,Ecuador,70,3,4,Bean,,Vanilla,Lecithin,,Sugar,,creamy,nutty,mass market,
1268,300,Maglio,Italy,2008,Tanzania,Africa,75,2,4,Bean,Cocoa butter,Vanilla,,,Sugar,,chalky,astringent,vanilla,
1269,531,Majani,Italy,2010,Ecuador,Ecuador,70,2,4,Bean,Cocoa butter,,Lecithin,,Sugar,,strong vanilla,some spice,,
1270,184,Malagasy (Chocolaterie Robert),Madagascar,2007,Madagascar,Mora Mora 2006,73,3.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,creamy,sublte grape notes,,
1271,184,Malagasy (Chocolaterie Robert),Madagascar,2007,Madagascar,Sambirano 2006,75,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,cardboard,tea-like,,
1272,1121,Malagos,Philippines,2013,Philippines,"Davao, Mt. Talamo foothills",65,3.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sandy,sweet,cocoa,
1273,2226,Malai,Thailand,2018,Thailand,Chantaburi,70,2.75,3,Bean,Cocoa butter,,,,,Sweetener without sugar,gummy,smokey,hammy,
1274,311,Malie Kai (Guittard),U.S.A,2009,U.s.a.,"O'ahu Island, N. Shore, Waialua Estate",55,2.75,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sweet,vanilla,easter candy,
1275,502,Malie Kai (Guittard),U.S.A,2010,U.s.a.,"O'ahu Island, N. Shore, Waialua Estate with nibs",55,3.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,creamy,crunchy,very sweet,
1276,1856,Malmo,Sweden,2016,Venezuela,Chuao,70,3,3,Bean,Cocoa butter,,,,Sugar,,hammy,unrecognizable,,
1277,821,Mana,U.S.A,2012,Dominican republic,Conacado,74,3.75,3,Bean,Cocoa butter,,,,Sugar,,berry,nutty,sour,
1278,1219,Mana,U.S.A,2014,Venezuela,Venezuela,74,2.75,3,Bean,Cocoa butter,,,,Sugar,,nutty,green,,
1279,1219,Mana,U.S.A,2014,Peru,Peru,74,2.5,3,Bean,Cocoa butter,,,,Sugar,,rubber,off medicinal,,
1280,1446,Mana,U.S.A,2015,Ecuador,"Ecuador, batch 1212",74,2.5,2,Bean,,,,,Sugar,,soil,wet,off notes,
1281,1331,Manifesto Cacao,Colombia,2014,Colombia,Colombia,70,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,muted,nutty,,
1282,1003,Manoa,U.S.A,2012,Liberia,"Liberia, batch 174",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,molassses,intense,off,herb
1283,1007,Manoa,U.S.A,2012,U.s.a.,"O'ahu Island, Winward,Maunawili district, b. 151",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,molasses,sweet,cocoa,
1284,1007,Manoa,U.S.A,2012,Peru,"Piura, batch 173",72,3,3,Bean,Cocoa butter,,,,Sugar,,banana,menthol,medicinal,
1285,1007,Manoa,U.S.A,2012,U.s.a.,"Hawai'i Island, Hamakua, Hawaiian Crown, b. 176",72,2.75,3,Bean,Cocoa butter,,,,Sugar,,oily,tangy,fruit,earthy
1286,1089,Manoa,U.S.A,2013,U.s.a.,"O'ahu Island, Waiahole, b. 182",72,3.75,3,Bean,Cocoa butter,,,,Sugar,,orange,cocoa,,
1287,1522,Manoa,U.S.A,2015,Costa rica,Coto Brus,72,3.75,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,balanced,cocoa,
1288,1522,Manoa,U.S.A,2015,Papua new guinea,Markham Valley,72,3.5,3,Bean,Cocoa butter,,,,Sugar,,smoke,fruit,,
1289,2032,Manoa,U.S.A,2017,Peru,Ucayali,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,sweet,fatty,fig,
1290,2442,Manoa,U.S.A,2019,U.s.a.,"Hawai'i Island, Hilo and Kona regions",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,spicy,sticky,intense
1291,871,Manufaktura Czekolady,Poland,2012,Ghana,Grand Cru Ghana,70,3.5,2,Bean,,,,,Sugar,,cocoa,coconut,,
1292,871,Manufaktura Czekolady,Poland,2012,Dominican republic,Grand Cru Dominican Republic,70,3.25,2,Bean,,,,,Sugar,,chewy,brownie like,,
1293,875,Manufaktura Czekolady,Poland,2012,Ecuador,Grand Cru Ecuador,70,3.25,2,Bean,,,,,Sugar,,grits,roaste brownie,,
1294,1255,Manufaktura Czekolady,Poland,2014,Venezuela,Porcelana,70,3.75,2,Bean,,,,,Sugar,,nutty,intense,roasty,
1295,1279,Manufaktura Czekolady,Poland,2014,Colombia,Kolumbia,85,3.5,2,Bean,,,,,Sugar,,coarse,intense,nutty,
1296,1844,Manufaktura Czekolady,Poland,2016,Nicaragua,Johe,70,3.75,3,Bean,Cocoa butter,,,,Sugar,,basic,balanced,deep cocoa,
1297,1848,Manufaktura Czekolady,Poland,2016,Peru,Peru,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,nutty,roasty,,
1298,1474,Map Chocolate,U.S.A,2015,Dominican republic,"ROIG, 2014",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,fruity,tangy,cocoa,
1299,1474,Map Chocolate,U.S.A,2015,Peru,"Maranon, 2014",62,3.5,3,Bean,Cocoa butter,,,,Sugar,,delicate,caramel,peanut,
1300,1478,Map Chocolate,U.S.A,2015,Ecuador,Ecuador,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,coarse,floral,rum,
1301,1606,Map Chocolate,U.S.A,2015,Nicaragua,"A case of the Xerces Blues, triple roast",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,rich,bright fruit,,
1302,1606,Map Chocolate,U.S.A,2015,Peru,"Tumbes, Dear Mr. Finley, 2014",68,3.5,3,Bean,Cocoa butter,,,,Sugar,,lemon,spicy,cocoa,
1303,1634,Map Chocolate,U.S.A,2015,Honduras,Le Chocolat Chaud,78,3.5,3,Bean,Cocoa butter,,,,Sugar,,grassy,woody,sweet,
1304,1610,Map Chocolate,U.S.A,2015,Tanzania,"Kakoa Kamili, Both Man & Bird & Beast",72,3,3,Bean,Cocoa butter,,,,Sugar,,sweet,fatty,roasty,
1305,1606,Map Chocolate,U.S.A,2015,Trinidad,"San Juan Estate, Cherry Blossoms at Night",70,2.75,3,Bean,Cocoa butter,,,,Sugar,,heavy roast,few grits,rich,
1306,1610,Map Chocolate,U.S.A,2015,Colombia,Colombia,75,2.75,3,Bean,Cocoa butter,,,,Sugar,,roasty,coffee,rubber,
1307,1896,Map Chocolate,U.S.A,2016,Vietnam,"Ben Tre, Surprise Valley",75,3.25,3,Bean,Cocoa butter,,,,Sugar,,intense,sour,tart,
1308,1956,Map Chocolate,U.S.A,2017,Vietnam,"Lam Dong, ""Red Poppy""",73,3,2,Bean,,,,,Sugar,,earthy,tobacco,ashey,
1309,2040,Map Chocolate,U.S.A,2018,Dominican republic,Zorzal Reserve,72,3.5,3,Bean,Cocoa butter,,,,Sugar,,complex,creamy,cherry,
1310,2262,Map Chocolate,U.S.A,2018,Mexico,"Tabasco, ""Late for the Train"", batch 12184",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,sweet,spicy,dirty,
1311,2262,Map Chocolate,U.S.A,2018,Blend,"""Peace of Wild Things""",72,3,3,Bean,Cocoa butter,,,,Sugar,,off notes,rubbery,hammy,
1312,1872,Marana,Peru,2016,Peru,Piura,70,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,pungent,tangy,grapes,
1313,1884,Marana,Peru,2016,Peru,San Martin,70,3,3,Bean,Cocoa butter,,,,Sugar,,pungent,grapes,brownie,
1314,1884,Marana,Peru,2016,Peru,Cusco,70,2.75,3,Bean,Cocoa butter,,,,Sugar,,smokey,dirty,sour,
1315,1808,Marigold's Finest,Canada,2016,Blend,Cacao Nib Crunch,75,3.25,2,Bean,,,,,Sugar,,earthy,coffee,roasty,
1316,2158,Markham & Fitz,U.S.A,2018,Haiti,"Pisa, batch 58",75,2.75,2,Bean,,,,,Sugar,,dried fruit,woody,dirty,
1317,845,Marou,Vietnam,2012,Vietnam,Ba Ria,76,3.5,3,Bean,Cocoa butter,,,,Sugar,,citrus,,,
1318,845,Marou,Vietnam,2012,Vietnam,Dong Nai,72,3.5,3,Bean,Cocoa butter,,,,Sugar,,roasty,coffee,,
1319,845,Marou,Vietnam,2012,Vietnam,"Tien Giang, Gao Co-op",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,cocoa,spice,late sour,
1320,849,Marou,Vietnam,2012,Vietnam,Ben Tre,78,3.5,3,Bean,Cocoa butter,,,,Sugar,,sticky,pepper,cinamon,rich
1321,955,Marou,Vietnam,2012,Vietnam,Lam Dong,74,3.5,3,Bean,Cocoa butter,,,,Sugar,,melon,roasty,,
1322,895,Marou,Vietnam,2012,Vietnam,Tien Giang,80,3,3,Bean,Cocoa butter,,,,Sugar,,creamy,fatty,black pepper,
1323,1149,Marou,Vietnam,2013,Vietnam,"Tan Phu Dong, Treasure Island",75,3.5,3,Bean,Cocoa butter,,,,Sugar,,fatty,heavy roast,nutty,
1324,1650,Marou,Vietnam,2015,Vietnam,"Dak Lak, Batch 2451",70,3.75,2,Bean,,,,,Sugar,,spicy and fragrant,,,
1325,1650,Marou,Vietnam,2015,Vietnam,Ben Tre,68,3.5,2,Bean,,,,,Sugar,,roasty,rich,coffee,nut
1326,1650,Marou,Vietnam,2015,Vietnam,"Tan Phu Dong Island, Heart of Darkness",85,3.25,2,Bean,,,,,Sugar,,long,mild honey,rich cocoa,
1327,2258,Marou,Vietnam,2018,Vietnam,"Dak Nong, Tam Farm",75,3.5,3,Bean,Cocoa butter,,,,Sugar,,fatty,roasty,nutty,
1328,1189,Marsatta,U.S.A,2013,Dominican republic,Dominican Republic,89,2.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,fatty,rubber,medicinal,
1329,1189,Marsatta,U.S.A,2013,Dominican republic,Dominican Republic,74,2.25,4,Bean,Cocoa butter,Vanilla,,,Sugar,,waxy,rubber,medicinal,
1330,1836,Martin Mayer,Austria,2016,Colombia,Tumaco,74,3.25,3,Bean,Cocoa butter,,,,Sugar,,sandy,mild floral,mild nutty,
1331,1836,Martin Mayer,Austria,2016,Haiti,Pisa,82,3,3,Bean,Cocoa butter,,,,Sugar,,sandy,earthy,sweet edge,
1332,1836,Martin Mayer,Austria,2016,Bolivia,Alto Beni,76,2.75,3,Bean,Cocoa butter,,,,Sugar,,sticky,pungent,off note,
1333,572,Mast Brothers,U.S.A,2010,Dominican republic,"Dominican Republic, Coop",70,3.25,2,Bean,,,,,Sugar,,sticky,earthy,coffee,
1334,572,Mast Brothers,U.S.A,2010,Venezuela,Ocumare de la Costa,75,3,2,Bean,,,,,Sugar,,dry,sticky,nutty,earthy
1335,572,Mast Brothers,U.S.A,2010,Venezuela,Patanemo,81,2.75,2,Bean,,,,,Sugar,,sticky,woody,musty,
1336,777,Mast Brothers,U.S.A,2011,Dominican republic,"La Red de Guanconejo, N. Highlands coop",74,3.75,2,Bean,,,,,Sugar,,gritty,raspberry,sour,
1337,672,Mast Brothers,U.S.A,2011,Blend,Brooklyn Blend,72,3.5,2,Bean,,,,,Sugar,,rich cocoa,coffee,roasty,
1338,773,Mast Brothers,U.S.A,2011,Belize,Moho River,70,3.5,2,Bean,,,,,Sugar,,gritty,tangy,cocoa,
1339,777,Mast Brothers,U.S.A,2011,Dominican republic,Conacado,73,3.25,2,Bean,,,,,Sugar,,dry,gritty,red berry,coffee
1340,701,Mast Brothers,U.S.A,2011,Venezuela,"Chuao, Med. Roast",76,3,2,Bean,,,,,Sugar,,sandy,strawberry,sour,
1341,709,Mast Brothers,U.S.A,2011,Venezuela,"Chuao, Dark Roast",70,3,2,Bean,,,,,Sugar,,dry,sandy,intense,berry
1342,777,Mast Brothers,U.S.A,2011,Peru,San Martin,75,3,2,Bean,,,,,Sugar,,orange,lemon,coffee ground,
1343,713,Mast Brothers,U.S.A,2011,Venezuela,"Chuao, Light Roast",81,2.75,2,Bean,,,,,Sugar,,gritty,high astringent,sour,
1344,777,Mast Brothers,U.S.A,2011,Papua new guinea,Papua New Guinea,71,2.75,2,Bean,,,,,Sugar,,gritty,sticky,smoke,hammy
1345,959,Mast Brothers,U.S.A,2012,Blend,"Shake Shack, Peru, Mad., Dom. Rep.",73,3.5,2,Bean,,,,,Sugar,,gritty,fruit,tart,rich
1346,999,Mast Brothers,U.S.A,2012,Venezuela,Chuao,73,2.75,2,Bean,,,,,Sugar,,gritty,sour,sweet,
1347,999,Mast Brothers,U.S.A,2012,Blend,Madagascar,72,2.5,2,Bean,,,,,Sugar,,gritty,overly tart,sour,
1348,1359,Mast Brothers,U.S.A,2014,Blend,"French Laundry 20th Anniversary, Peru, Belize",75,3.75,2,Bean,,,,,Sugar,,tart,deep choco,,
1349,1450,Mast Brothers,U.S.A,2015,Tanzania,Tanzania,74,3.25,2,Bean,,,,,Sugar,,green,vegetal,mild spice,
1350,1450,Mast Brothers,U.S.A,2015,Guatemala,Guatemala,76,3,2,Bean,,,,,Sugar,,mild bitter,citrus,intense,
1351,1177,Matale,Australia,2013,Madagascar,"Somia, 2013",68,4,3,Bean,Cocoa butter,,,,Sugar,,sticky,red fruit,,
1352,1177,Matale,Australia,2013,Papua new guinea,"Kulili P., 2013",74,4,3,Bean,Cocoa butter,,,,Sugar,,creamy,grassy,smoke,nut
1353,1181,Matale,Australia,2013,Blend,"PNG, Vanuatu, Mad; 2013 h.",70,3.75,3,Bean,Cocoa butter,,,,Sugar,,nutty,fruity,spicy,
1354,1177,Matale,Australia,2013,Vanuatu,"Malekula P., 2013",72,3.5,3,Bean,Cocoa butter,,,,Sugar,,sticky,butterscotch,nutty,
1355,1430,Maverick,U.S.A,2014,Peru,"Morropon, Norandiono Coop, Piura",63,3.5,3,Bean,Cocoa butter,,,,Sugar,,sweet,cherry,cream,raisin
1356,1367,Maverick,U.S.A,2014,Belize,Maya Mountain,70,3.25,2,Bean,,,,,Sugar,,heavy roast,smoke,,
1357,1367,Maverick,U.S.A,2014,Dominican republic,Elvesia,70,3.25,2,Bean,,,,,Sugar,,roasty,coffee,,
1358,1430,Maverick,U.S.A,2014,Peru,Tumbes,82,3.25,2,Bean,,,,,Sugar,,intense,burnt,bitter,spice
1359,2482,Maverick,U.S.A,2020,Madagascar,"Akesson P., Sambirano",65,3.25,3,Bean,Cocoa butter,,,,Sugar,,sweet edge,sour fruit,,
1360,2482,Maverick,U.S.A,2020,U.s.a.,"Hawai'i Island, Big Island, Mauna Kea",70,3,3,Bean,Cocoa butter,,,,Sugar,,nutty,cheese,savory,
1361,2486,Maverick,U.S.A,2020,Vietnam,"Dak Nong, Marou Cacao",75,3,3,Bean,Cocoa butter,,,,Sugar,,roasty,hammy,dirty,
1362,1728,Mayacama,U.S.A,2016,Dominican republic,Hispaniola,72,3,2,Bean,,,,,Sugar,,gritty,sweet,earthy,
1363,2478,McGuire,Canada,2020,Belize,"Maya Mountain, Toledo",70,3.25,3,Bean,Cocoa butter,,,,Sugar,,cocoa,strawberry,,
1364,2474,McGuire,Canada,2020,Guatemala,"Cahabon E., ""Adioesmac""",70,2.5,3,Bean,Cocoa butter,,,,Sugar,,musty,woody,rubbery,roasty
1365,1291,Meadowlands,U.S.A,2014,Dominican republic,Dominican Republic,70,3.5,2,Bean,,,,,Sugar,,high roast,nutty,deep choco,
1366,1287,Meadowlands,U.S.A,2014,Belize,Belize,70,3,2,Bean,,,,,Sugar,,spicy,metallic,molasses,
1367,1291,Meadowlands,U.S.A,2014,Nicaragua,"Nicaragua, with inbs",70,3,2,Bean,,,,,Sugar,,fatty,sligthly bland,earthy,
1368,1287,Meadowlands,U.S.A,2014,Venezuela,Venezuela,70,2.75,2,Bean,,,,,Sugar,,molasses,sweet,choco,
1369,1287,Meadowlands,U.S.A,2014,Bolivia,Bolivia,70,2.5,2,Bean,,,,,Sugar,,pungent,off,,
1370,2362,Mellow,Denmark,2019,Philippines,"Kablon Farms, Mindanao Island, 2018 harvest",70,3.25,2,Bean,,,,,,Sweetener without sugar,smooth,coconut,cocoa,
1371,2362,Mellow,Denmark,2019,Tanzania,"Kokoa Kamili, 2018 harvest, Mbingu Village",70,3.25,2,Bean,,,,,,Sweetener without sugar,creamy,coconut,cocoa,
1372,2362,Mellow,Denmark,2019,Dominican republic,"Oko Caribe, El Cibao, 2018 Harvest",70,2.75,2,Bean,,,,,,Sweetener without sugar,dry,floral,dirty,coconut
1373,2362,Mellow,Denmark,2019,Ecuador,"Camino Verde, Duran Region",85,2.5,2,Bean,,,,,,Sweetener without sugar,floral,earthy,bitter,
1374,837,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,80,2.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sticky,tart,slight burnt,
1375,841,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,72,2.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,uneven,smokey,hammy,
1376,1347,Mesocacao,Honduras,2014,Honduras,Honduras,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,intense,grassy,spicy,rich
1377,1351,Mesocacao,Honduras,2014,Nicaragua,"La Tronca, Matagalpa",80,3.5,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,rich cocoa,,
1378,1347,Mesocacao,Honduras,2014,Honduras,Honduras,80,3.25,3,Bean,Cocoa butter,,,,Sugar,,intense,ham,butterscotch,
1379,1351,Mesocacao,Honduras,2014,Nicaragua,"La Tronca, Matagalpa",70,3.25,3,Bean,Cocoa butter,,,,Sugar,,acidic,pomegrant,brownie,
1380,1494,Mesocacao,Honduras,2015,El salvador,El Salvador,70,3,3,Bean,Cocoa butter,,,,Sugar,,dairy,caramel,,
1381,1494,Mesocacao,Honduras,2015,El salvador,El Salvador,80,2.75,3,Bean,Cocoa butter,,,,Sugar,,fatty,bitter,woody,roasty
1382,2250,Mestico,Brazil,2018,Brazil,"Fazenda Bonanca, Bahia",75,2.5,3,Bean,Cocoa butter,,,,Sugar,,earthy,floral,rubbery,
1383,1267,Metiisto,Sweden,2014,Madagascar,"Akesson Estate, batch 10",72,3.5,3,Bean,Cocoa butter,,,,Sugar,,creamy,fatty,mild cherry,
1384,1267,Metiisto,Sweden,2014,Brazil,"Fazenda Sempre Firme P., Bahia, batch 7",70,3,3,Bean,Cocoa butter,,,,Sugar,,fatty,creamy,olive,
1385,2170,Metiisto,Australia,2018,Solomon islands,Tenaru,67,3.75,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,mild hammy,,
1386,2166,Metiisto,Australia,2018,Solomon islands,"Patovaki, Paspaskato Is",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,roasty/smokey,high acidity,,
1387,1688,Metropolitan,Netherlands,2015,Blend,South America,70,3.5,3,Bean,,Vanilla,,,Sugar,,accesible,simple cocoa note,,
1388,2210,Meybol,Germany,2018,Peru,Piura Blanco,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,grape,mild smoke,sandy,
1389,24,Michel Cluizel,France,2006,Dominican republic,Los Ancones P.,67,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,raisins,licorice,
1390,24,Michel Cluizel,France,2006,Madagascar,Mangaro P.,65,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,grapefruit,spices,,
1391,24,Michel Cluizel,France,2006,Papua new guinea,Maralumi P.,64,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,tropical fruit and mild smoke,,,
1392,24,Michel Cluizel,France,2006,Sao tome,Tamarina,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,licorice,herbs,
1393,24,Michel Cluizel,France,2006,Blend,Carre Amer,60,2,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sweet,crisp nibs,,
